Codigo;Tipo de Activo;Vinculado o no;Tipo de Titulo;Emisor;NIT;Tipo Inversion;Tipo Registro;Sisitema TRansaccional;Tipo Moneda;Tipo Sector;Calificacion;Dias Vencimiento;Duracion;VPN;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;197;0;3094950000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;127;0;3069180000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;1;491;0;6964580000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;287;0;5112500000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;289;0;1022450000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;290;0;5108500000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;297;0;3060870000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;298;0;10195400000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;308;0;1002860000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;315;0;5008500000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;331;0,8116;18226980000;
71717171;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;327;0;10157100000;
71717171;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;319;0;17524325000;
71717171;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;193;0;10352900000;
71717171;;;16;Banco Corpbanca Colombia S.A;8909039370;;1;1;1;2;1;702;1,6407;16181440000;
71717171;;;16;Banco Corpbanca Colombia S.A;8909039370;;1;1;1;2; 4;112;0,282;5535310000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;176;0;1523625000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;10;0;1022870000;
