Orden;Tipo de Registro;Nemo;ISIN;Numero Emisión;Estado;Fecha Registro;Fecha de Emisión;Fecha de Vencimiento;Periodicidad;Modalidad;Días al vencimiento;Moneda;Tipo Tasa;Tipo Tasa Referencia;Spread;Tipo de Calculo;Base de calculo;Precio;Fecha Ultimo Precio;Ultimo precio;Código ISIN2;Precio Limpio;Código ISIN3;TIR;Duracion ;Duracion Modificada ;Convexidad ;Cupon Corrido ;Margen;Calificación ;CALIF;CLASE;Especie;Emisor;Entidad;Rango Plazo;indicador;indicador2;Indicador Calif
18631;D;BPEMINHTA4;COL17CB06VK7;0;A;06/04/2016;19/09/2003;02/07/2028;P;V;4467;COP;3;ICP;4;2;0;257,088;;0;;257,088;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18632;D;BPEMINHTA4;COL17CB06VL5;0;A;06/04/2016;19/09/2003;22/07/2027;P;V;4122;COP;3;ICP;4;2;0;267,766;;0;;267,766;;12,885;0;0;0;0;4,5425;NACIO;N;;;;;;;;
18633;D;BPEMINHTA4;COL17CB06VM3;0;A;06/04/2016;19/09/2003;20/07/2029;P;V;4850;COP;3;ICP;4;2;0;254,852;;0;;254,852;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18634;D;BPEMINHTA4;COL17CB06VN1;0;A;06/04/2016;19/09/2003;05/05/2030;P;V;5139;COP;3;ICP;4;2;0;239,711;;0;;239,711;;13,658;0;0;0;0;5,258;NACIO;N;;;;;;;;
18635;D;BPEMINHTA3;COL17CB06VO9;0;A;06/04/2016;19/09/2003;15/09/2030;P;V;5272;COP;3;ICP;3;2;0;183,832;;0;;183,832;;13,658;0;0;0;0;5,258;NACIO;N;;;;;;;;
18636;D;BPEMINHTA4;COL17CB06VP6;0;A;06/04/2016;19/09/2003;18/07/2031;P;V;5578;COP;3;ICP;4;2;0;236,213;;0;;236,213;;13,658;0;0;0;0;5,258;NACIO;N;;;;;;;;
18637;D;BPEMINHTA3;COL17CB06VQ4;0;A;06/04/2016;19/09/2003;26/01/2031;P;V;5405;COP;3;ICP;3;2;0;182,337;;0;;182,337;;13,658;0;0;0;0;5,258;NACIO;N;;;;;;;;
18638;D;BPEMINHTA4;COL17CB06VR2;0;A;06/04/2016;19/09/2003;03/10/2032;P;V;6020;COP;3;ICP;4;2;0;218,349;;0;;218,349;;14,099;0;0;0;0;5,6668;NACIO;N;;;;;;;;
18639;D;BPEMINHTA4;COL17CB06VS0;0;A;06/04/2016;19/09/2003;24/01/2033;P;V;6133;COP;3;ICP;4;2;0;217,216;;0;;217,216;;14,099;0;0;0;0;5,6668;NACIO;N;;;;;;;;
18640;D;BPEMINHTA3;COL17CB06VT8;0;A;06/04/2016;19/09/2003;22/07/2023;P;V;2662;COP;3;ICP;3;2;0;221,759;;0;;221,759;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18641;D;BPEMINHTA4;COL17CB06VV4;0;A;06/04/2016;19/09/2003;04/09/2023;P;V;2706;COP;3;ICP;4;2;0;268,319;;0;;268,319;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18642;D;BPEMINHTA4;COL17CB06VX0;0;A;06/04/2016;19/09/2003;03/07/2027;P;V;4103;COP;3;ICP;4;2;0;267,859;;0;;267,859;;12,885;0;0;0;0;4,5425;NACIO;N;;;;;;;;
18643;D;BPEMINHTA4;COL17CB06VY8;0;A;06/04/2016;19/09/2003;19/01/2029;P;V;4668;COP;3;ICP;4;2;0;255,824;;0;;255,824;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18644;D;BPEMINHTA4;COL17CB06W37;0;A;06/04/2016;19/09/2003;13/12/2020;P;V;1711;COP;3;ICP;4;2;0;281,394;;0;;281,394;;12,532;0;0;0;0;4,2153;NACIO;N;;;;;;;;
18645;D;BPEMINHTA3;COL17CB06W45;0;A;06/04/2016;19/09/2003;14/12/2019;P;V;1347;COP;3;ICP;3;2;0;243,75;;0;;243,75;;12,191;0;0;0;0;3,9002;NACIO;N;;;;;;;;
18646;D;BPEMINHTA4;COL17CB06W52;0;A;06/04/2016;19/09/2003;07/11/2021;P;V;2040;COP;3;ICP;4;2;0;278,293;;0;;278,293;;12,715;0;0;0;0;4,3848;NACIO;N;;;;;;;;
