Orden;Tipo de Registro;Nemo;ISIN;Numero Emisión;Estado;Fecha Registro;Fecha de Emisión;Fecha de Vencimiento;Periodicidad;Modalidad;Días al vencimiento;Moneda;Tipo Tasa;Tipo Tasa Referencia;Spread;Tipo de Calculo;Base de calculo;Precio;Fecha Ultimo Precio;Ultimo precio;Código ISIN2;Precio Limpio;Código ISIN3;TIR;Duracion ;Duracion Modificada ;Convexidad ;Cupon Corrido ;Margen;Calificación ;CALIF;CLASE;Especie;Emisor;Entidad;Rango Plazo;indicador;indicador2;Indicador Calif
826;D;CDTBBO90;COB01CD54922;0;A;06/04/2016;16/11/2011;16/11/2021;T;V;2049;COP;3;IPC;4,3;2;0;102,693;;0;;101,087;;12,307;0;0;0;1,605;4,0071;AAA;;;;;;;;;
827;D;CDTBBO90;COB01CD55085;0;A;06/04/2016;21/11/2011;21/11/2017;T;V;594;COP;3;IPC;3,93;2;0;103,372;;0;;101,972;;10,708;0;0;0;1,399;2,5264;AAA;;;;;;;;;
828;D;CDTBBO90;COB01CD55093;0;A;06/04/2016;21/11/2011;21/11/2016;T;V;229;COP;3;IPC;3,8;2;0;103,163;;0;;101,78;;8,743;0;0;0;1,383;0,7067;F1+;;;;;;;;;
829;D;CDTBBO90;COB01CD55101;0;A;06/04/2016;21/11/2011;21/11/2021;T;V;2054;COP;3;IPC;4,3;2;0;102,518;;0;;101,073;;12,31;0;0;0;1,445;4,0101;AAA;;;;;;;;;
830;D;CDTBBO90;COB01CD55127;0;A;06/04/2016;21/11/2011;21/11/2018;T;V;959;COP;3;IPC;4,05;2;0;103,626;;0;;102,212;;11,244;0;0;0;1,414;3,0224;AAA;;;;;;;;;
831;D;CDTBBO90;COB01CD55176;0;A;06/04/2016;22/11/2011;22/11/2021;T;V;2055;COP;3;IPC;4,3;2;0;102,484;;0;;101,071;;12,31;0;0;0;1,413;4,0104;AAA;;;;;;;;;
832;D;CDTBBO90;COB01CD55218;0;A;06/04/2016;22/11/2011;22/11/2018;T;V;960;COP;3;IPC;4,05;2;0;103,593;;0;;102,21;;11,245;0;0;0;1,383;3,0236;AAA;;;;;;;;;
833;D;CDTBBO90;COB01CD55226;0;A;06/04/2016;22/11/2011;22/11/2017;T;V;595;COP;3;IPC;3,93;2;0;103,34;;0;;101,972;;10,71;0;0;0;1,368;2,5285;AAA;;;;;;;;;
834;D;CDTBBO90;COB01CD55291;0;A;06/04/2016;23/11/2011;23/11/2021;T;V;2056;COP;3;IPC;4,3;2;0;102,449;;0;;101,068;;12,311;0;0;0;1,381;4,011;AAA;;;;;;;;;
835;D;CDTBBO90;COB01CD55309;0;A;06/04/2016;23/11/2011;23/11/2018;T;V;961;COP;3;IPC;4,05;2;0;103,559;;0;;102,208;;11,247;0;0;0;1,351;3,0253;AAA;;;;;;;;;
836;D;CDTBBO90;COB01CD55382;0;A;06/04/2016;24/11/2011;24/11/2021;T;V;2057;COP;3;IPC;4,3;2;0;102,414;;0;;101,065;;12,312;0;0;0;1,349;4,0116;AAA;;;;;;;;;
837;D;CDTBBO90;COB01CD56034;0;A;06/04/2016;09/12/2011;09/12/2018;T;V;977;COP;3;IPC;4,05;2;0;103,06;;0;;102,202;;11,269;0;0;0;0,858;3,0458;AAA;;;;;;;;;
838;D;CDTBBO90;COB01CD57180;0;A;06/04/2016;11/01/2012;11/01/2022;T;V;2105;COP;3;IPC;4,3;2;0;103,606;;0;;101,031;;12,34;0;0;0;2,575;4,0378;AAA;;;;;;;;;
839;D;CDTBBO90;COB01CD57214;0;A;06/04/2016;12/01/2012;12/01/2022;T;V;2106;COP;3;IPC;4,3;2;0;103,571;;0;;101,026;;12,341;0;0;0;2,545;4,0383;AAA;;;;;;;;;
840;D;CDTBBO90;COB01CD57222;0;A;06/04/2016;13/01/2012;13/01/2022;T;V;2107;COP;3;IPC;4,3;2;0;103,536;;0;;101,021;;12,341;0;0;0;2,515;4,0388;AAA;;;;;;;;;
841;D;CDTBBO90;COB01CD57347;0;A;06/04/2016;16/01/2012;16/01/2022;T;V;2110;COP;3;IPC;4,3;2;0;103,431;;0;;101,007;;12,343;0;0;0;2,424;4,0402;AAA;;;;;;;;;
842;D;CDTBBO90;COB01CD57362;0;A;06/04/2016;17/01/2012;17/01/2021;T;V;1746;COP;3;IPC;4,22;2;0;103,881;;0;;101,505;;12,066;0;0;0;2,376;3,7844;AAA;;;;;;;;;
843;D;CDTBBO90;COB01CD57370;0;A;06/04/2016;17/01/2012;17/01/2022;T;V;2111;COP;3;IPC;4,3;2;0;103,396;;0;;101,002;;12,343;0;0;0;2,393;4,0407;AAA;;;;;;;;;
844;D;CDTBBO90;COB01CD57388;0;A;06/04/2016;18/01/2012;18/01/2022;T;V;2112;COP;3;IPC;4,3;2;0;103,361;;0;;100,997;;12,344;0;0;0;2,363;4,0412;AAA;;;;;;;;;
845;D;CDTBBO90;COB01CD57396;0;A;06/04/2016;18/01/2012;18/01/2017;T;V;287;COP;3;IPC;3,8;2;0;103,815;;0;;101,559;;9,729;0;0;0;2,256;1,6202;F1+;;;;;;;;;
846;D;CDTBBO90;COB01CD57438;0;A;06/04/2016;18/01/2012;18/01/2021;T;V;1747;COP;3;IPC;4,2;2;0;103,769;;0;;101,428;;12,067;0;0;0;2,342;3,7854;AAA;;;;;;;;;
847;D;CDTBBO90;COB01CD57446;0;A;06/04/2016;19/01/2012;19/01/2019;T;V;1018;COP;3;IPC;4,05;2;0;104,457;;0;;102,177;;11,325;0;0;0;2,28;3,0974;AAA;;;;;;;;;
848;D;CDTBBO90;COB01CD57479;0;A;06/04/2016;19/01/2012;19/01/2022;T;V;2113;COP;3;IPC;4,3;2;0;103,326;;0;;100,993;;12,344;0;0;0;2,333;4,0417;AAA;;;;;;;;;
849;D;CDTBBO90;COB01CD57537;0;A;06/04/2016;20/01/2012;20/01/2022;T;V;2114;COP;3;IPC;4,3;2;0;103,291;;0;;100,988;;12,345;0;0;0;2,303;4,0422;AAA;;;;;;;;;
850;D;CDTBBO90;COB01CD57701;0;A;06/04/2016;25/01/2012;25/01/2022;T;V;2119;COP;3;IPC;4,3;2;0;103,116;;0;;100,964;;12,347;0;0;0;2,151;4,0447;AAA;;;;;;;;;
851;D;CDTBBO90;COB01CD57818;0;A;06/04/2016;26/01/2012;26/01/2022;T;V;2120;COP;3;IPC;4,3;2;0;103,08;;0;;100,96;;12,348;0;0;0;2,121;4,0455;AAA;;;;;;;;;
852;D;CDTBBO90;COB01CD57883;0;A;06/04/2016;27/01/2012;27/01/2021;T;V;1756;COP;3;IPC;4,2;2;0;103,456;;0;;101,385;;12,074;0;0;0;2,072;3,7914;AAA;;;;;;;;;
853;D;CDTBBO90;COB01CD57982;0;A;06/04/2016;30/01/2012;30/01/2022;T;V;2124;COP;3;IPC;4,3;2;0;102,941;;0;;100,941;;12,35;0;0;0;2;4,0473;AAA;;;;;;;;;
854;D;CDTBBO90;COB01CD57990;0;A;06/04/2016;30/01/2012;30/01/2017;T;V;299;COP;3;IPC;3,8;2;0;103,477;;0;;101,568;;9,759;0;0;0;1,909;1,6473;F1+;;;;;;;;;
855;D;CDTBBO90;COB01CD58097;0;A;06/04/2016;01/02/2012;01/02/2022;T;V;2126;COP;3;IPC;4,3;2;0;102,875;;0;;100,906;;12,351;0;0;0;1,969;4,0484;AAA;;;;;;;;;
856;D;CDTBBO90;COB01CD58147;0;A;06/04/2016;02/02/2012;02/02/2021;T;V;1762;COP;3;IPC;4,2;2;0;103,252;;0;;101,33;;12,078;0;0;0;1,921;3,7952;AAA;;;;;;;;;
857;D;CDTBBO90;COB01CD58162;0;A;06/04/2016;02/02/2012;02/02/2022;T;V;2127;COP;3;IPC;4,3;2;0;102,84;;0;;100,901;;12,352;0;0;0;1,939;4,0489;AAA;;;;;;;;;
858;D;CDTBBO90;COB01CD58246;0;A;06/04/2016;03/02/2012;03/02/2017;T;V;303;COP;3;IPC;3,8;2;0;103,365;;0;;101,542;;9,768;0;0;0;1,822;1,6562;F1+;;;;;;;;;
859;D;CDTBBO90;COB01CD58303;0;A;06/04/2016;03/02/2012;03/02/2022;T;V;2128;COP;3;IPC;4,3;2;0;102,805;;0;;100,896;;12,353;0;0;0;1,909;4,0494;AAA;;;;;;;;;
860;D;CDTBBO90;COB01CD58493;0;A;06/04/2016;10/02/2012;10/02/2017;T;V;310;COP;3;IPC;3,8;2;0;103,329;;0;;101,608;;9,785;0;0;0;1,721;1,672;F1+;;;;;;;;;
861;D;CDTBBO90;COB01CD58592;0;A;06/04/2016;14/02/2012;14/02/2017;T;V;314;COP;3;IPC;3,8;2;0;103,216;;0;;101,618;;9,795;0;0;0;1,598;1,6808;F1+;;;;;;;;;
862;D;CDTBBO90;COB01CD58618;0;A;06/04/2016;15/02/2012;15/02/2017;T;V;315;COP;3;IPC;3,8;2;0;103,188;;0;;101,62;;9,797;0;0;0;1,568;1,6827;F1+;;;;;;;;;
863;D;CDTBBO90;COB01CD58667;0;A;06/04/2016;16/02/2012;16/02/2017;T;V;316;COP;3;IPC;3,8;2;0;103,159;;0;;101,622;;9,8;0;0;0;1,537;1,6858;F1+;;;;;;;;;
864;D;CDTBBO90;COB01CD58675;0;A;06/04/2016;17/02/2012;17/02/2017;T;V;317;COP;3;IPC;3,8;2;0;103,131;;0;;101,625;;9,802;0;0;0;1,506;1,6876;F1+;;;;;;;;;
865;D;CDTBBO90;COB01CD58733;0;A;06/04/2016;20/02/2012;20/02/2017;T;V;320;COP;3;IPC;3,8;2;0;103,046;;0;;101,632;;9,81;0;0;0;1,414;1,6945;F1+;;;;;;;;;
866;D;CDTBBO90;COB01CD58865;0;A;06/04/2016;21/02/2012;21/02/2017;T;V;321;COP;3;IPC;3,8;2;0;103,018;;0;;101,635;;9,812;0;0;0;1,383;1,6963;F1+;;;;;;;;;
867;D;CDTBBO90;COB01CD58956;0;A;06/04/2016;22/02/2012;22/02/2017;T;V;322;COP;3;IPC;3,8;2;0;102,99;;0;;101,637;;9,814;0;0;0;1,352;1,6982;F1+;;;;;;;;;
868;D;CDTBBO90;COB01CD59046;0;A;06/04/2016;23/02/2012;23/02/2017;T;V;323;COP;3;IPC;3,8;2;0;102,961;;0;;101,64;;9,817;0;0;0;1,322;1,7012;F1+;;;;;;;;;
869;D;CDTBBO90;COB01CD59087;0;A;06/04/2016;24/02/2012;24/02/2017;T;V;324;COP;3;IPC;3,8;2;0;102,933;;0;;101,642;;9,819;0;0;0;1,291;1,7031;F1+;;;;;;;;;
870;D;CDTBBO90;COB01CD59129;0;A;06/04/2016;27/02/2012;27/02/2017;T;V;327;COP;3;IPC;3,8;2;0;102,848;;0;;101,649;;9,826;0;0;0;1,199;1,7097;F1+;;;;;;;;;
871;D;CDTBBO90;COB01CD59160;0;A;06/04/2016;27/02/2012;27/02/2017;T;V;327;COP;3;IPC;3,8;2;0;102,848;;0;;101,649;;9,826;0;0;0;1,199;1,7097;F1+;;;;;;;;;
872;D;CDTBBO90;COB01CD59319;0;A;06/04/2016;28/02/2012;28/02/2017;T;V;328;COP;3;IPC;3,8;2;0;102,82;;0;;101,652;;9,828;0;0;0;1,168;1,7116;F1+;;;;;;;;;
873;D;CDTBBO90;COB01CD59467;0;A;06/04/2016;01/03/2012;01/03/2017;T;V;329;COP;3;IPC;3,8;2;0;102,786;;0;;101,71;;9,831;0;0;0;1,076;1,7138;F1+;;;;;;;;;
874;D;CDTBBO90;COB01CD59483;0;A;06/04/2016;01/03/2012;01/03/2017;T;V;329;COP;3;IPC;3,8;2;0;102,786;;0;;101,71;;9,831;0;0;0;1,076;1,7138;F1+;;;;;;;;;
875;D;CDTBBO90;COB01CD59566;0;A;06/04/2016;02/03/2012;02/03/2017;T;V;330;COP;3;IPC;3,8;2;0;102,757;;0;;101,712;;9,834;0;0;0;1,045;1,7168;F1+;;;;;;;;;
876;D;CDTBBO90;COB01CD59822;0;A;06/04/2016;06/03/2012;06/03/2017;T;V;334;COP;3;IPC;3,8;2;0;102,644;;0;;101,722;;9,843;0;0;0;0,922;1,7252;F1+;;;;;;;;;
877;D;CDTBBO90;COB01CD60028;0;A;06/04/2016;09/03/2012;09/03/2017;T;V;337;COP;3;IPC;3,7;2;0;102,498;;0;;101,665;;9,85;0;0;0;0,833;1,7315;F1+;;;;;;;;;
878;D;CDTBBOS0V;COB01CD66264;0;A;06/04/2016;13/08/2014;13/08/2016;T;V;129;COP;1;FS;6,39;2;0;100,57;;0;;99,629;;7,651;0,3495;0,3246;0,4078;0,941;0,8557;F1+;;;;;;;;;
879;D;CDTBBO80;COB01CD76545;0;A;06/04/2016;18/04/2013;18/04/2016;M;V;12;COP;3;IB1;1,2;2;0;100,391;;0;;100,022;;7,014;0;0;0;0,369;0,5358;F1+;;;;;;;;;
880;D;CDTBBO80;COB01CD77782;0;A;06/04/2016;17/05/2013;17/05/2016;M;V;41;COP;3;IB1;1,15;2;0;100,407;;0;;100,02;;7,55;0;0;0;0,386;1,0387;F1+;;;;;;;;;
881;D;CDTBBO10;COB01CD91759;0;A;06/04/2016;03/03/2014;03/03/2017;T;V;331;COP;3;DTF;1,35;2;0;100,247;;0;;99,543;;8,51;0;0;0;0,703;1,9063;F1+;;;;;;;;;
882;D;CDTBBO10;COB01CD93508;0;A;06/04/2016;28/03/2014;28/03/2017;T;V;356;COP;3;DTF;1,1;2;0;99,402;;0;;99,238;;8,54;0;0;0;0,164;1,9343;F1+;;;;;;;;;
883;D;CDTBBO80;COB01CD94027;0;A;06/04/2016;07/04/2014;07/04/2016;M;V;1;COP;3;IB1;1,55;2;0;100,616;;0;;100,002;;6,844;0;0;0;0,613;0,3757;F1+;;;;;;;;;
884;D;CDTBBO80;COB01CD94167;0;A;06/04/2016;09/04/2014;09/04/2017;M;V;368;COP;3;IB1;1,7;2;0;100,286;;0;;99,702;;8,589;0;0;0;0,584;2,0154;AAA;;;;;;;;;
885;D;CDTBBO80;COB01CD94183;0;A;06/04/2016;09/04/2014;09/04/2016;M;V;3;COP;3;IB1;1,55;2;0;100,58;;0;;100,008;;7,071;0;0;0;0,573;0,5895;F1+;;;;;;;;;
886;D;CDTBBO80;COB01CD94241;0;A;06/04/2016;10/04/2014;10/04/2017;M;V;369;COP;3;IB1;1,7;2;0;100,264;;0;;99,7;;8,591;0;0;0;0,564;2,0171;AAA;;;;;;;;;
887;D;CDTBBO80;COB01CD94373;0;A;06/04/2016;14/04/2014;14/04/2017;M;V;373;COP;3;IB1;1,7;2;0;100,17;;0;;99,692;;8,596;0;0;0;0,478;2,0215;AAA;;;;;;;;;
888;D;CDTBBO80;COB01CD94506;0;A;06/04/2016;16/04/2014;16/04/2016;M;V;10;COP;3;IB1;1,55;2;0;100,455;;0;;100,027;;7,027;0;0;0;0,428;0,5479;F1+;;;;;;;;;
889;D;CDTBBO80;COB01CD94936;0;A;06/04/2016;28/04/2014;28/04/2016;M;V;22;COP;3;IB1;1,55;2;0;100,236;;0;;100,063;;7,047;0;0;0;0,173;0,5662;F1+;;;;;;;;;
890;D;CDTBBO80;COB01CD95040;0;A;06/04/2016;29/04/2014;29/04/2016;M;V;23;COP;3;IB1;1,55;2;0;100,218;;0;;100,066;;7,039;0;0;0;0,151;0,5591;F1+;;;;;;;;;
891;D;CDTBBO80;COB01CD95156;0;A;06/04/2016;30/04/2014;30/04/2016;M;V;24;COP;3;IB1;1,55;2;0;100,198;;0;;100,069;;7,051;0;0;0;0,13;0,5704;F1+;;;;;;;;;
892;D;CDTBBO80;COB01CD95370;0;A;06/04/2016;05/05/2014;05/05/2016;M;V;29;COP;3;IB1;1,55;2;0;100,106;;0;;100,085;;7,06;0;0;0;0,022;0,579;F1+;;;;;;;;;
893;D;CDTBBO80;COB01CD95388;0;A;06/04/2016;06/05/2014;06/05/2016;M;V;30;COP;3;IB1;1,55;2;0;100,088;;0;;100,088;;7,062;0;0;0;0;0,5804;F1+;;;;;;;;;
894;D;CDTBBO80;COB01CD95529;0;A;06/04/2016;07/05/2014;07/05/2016;M;V;31;COP;3;IB1;1,55;2;0;100,666;;0;;100,053;;7,534;0;0;0;0,613;1,0243;F1+;;;;;;;;;
895;D;CDTBBO80;COB01CD95594;0;A;06/04/2016;08/05/2014;08/05/2016;M;V;32;COP;3;IB1;1,4;2;0;100,621;;0;;100,04;;7,539;0;0;0;0,581;1,0287;F1+;;;;;;;;;
896;D;CDTBBO80;COB01CD95719;0;A;06/04/2016;12/05/2014;12/05/2017;M;V;401;COP;3;IB1;1,4;2;0;99,835;;0;;99,334;;8,627;0;0;0;0,501;2,0504;AAA;;;;;;;;;
897;D;CDTBBO90;COB01CD95735;0;A;06/04/2016;12/05/2014;12/05/2016;T;V;36;COP;3;IPC;2,35;2;0;101,629;;0;;100,185;;8,024;0;0;0;1,443;0,0403;F1+;;;;;;;;;
898;D;CDTBBO80;COB01CD95743;0;A;06/04/2016;12/05/2014;12/05/2016;M;V;36;COP;3;IB1;1,3;2;0;100,528;;0;;100,033;;7,542;0;0;0;0,494;1,0316;F1+;;;;;;;;;
899;D;CDTBBO80;COB01CD95875;0;A;06/04/2016;13/05/2014;13/05/2016;M;V;37;COP;3;IB1;1,3;2;0;100,507;;0;;100,034;;7,552;0;0;0;0,474;1,0413;F1+;;;;;;;;;
900;D;CDTBBO80;COB01CD96048;0;A;06/04/2016;16/05/2014;16/05/2017;M;V;405;COP;3;IB1;1,3;2;0;99,632;;0;;99,218;;8,631;0;0;0;0,414;2,0549;AAA;;;;;;;;;
901;D;CDTBBO80;COB01CD96063;0;A;06/04/2016;19/05/2014;19/05/2016;M;V;43;COP;3;IB1;1,2;2;0;100,375;;0;;100,027;;7,559;0;0;0;0,349;1,048;F1+;;;;;;;;;
902;D;CDTBBO80;COB01CD96071;0;A;06/04/2016;19/05/2014;19/05/2017;M;V;408;COP;3;IB1;1,3;2;0;99,563;;0;;99,21;;8,635;0;0;0;0,353;2,0581;AAA;;;;;;;;;
903;D;CDTBBO80;COB01CD96212;0;A;06/04/2016;20/05/2014;20/05/2016;M;V;44;COP;3;IB1;1,2;2;0;100,355;;0;;100,027;;7,559;0;0;0;0,328;1,0476;F1+;;;;;;;;;
904;D;CDTBBO80;COB01CD96311;0;A;06/04/2016;21/05/2014;21/05/2016;M;V;45;COP;3;IB1;1,2;2;0;100,335;;0;;100,027;;7,559;0;0;0;0,308;1,0474;F1+;;;;;;;;;
905;D;CDTBBO80;COB01CD96592;0;A;06/04/2016;26/05/2014;26/05/2017;M;V;415;COP;3;IB1;1,3;2;0;99,401;;0;;99,192;;8,642;0;0;0;0,209;2,0652;AAA;;;;;;;;;
906;D;CDTBBO80;COB01CD96626;0;A;06/04/2016;27/05/2014;27/05/2016;M;V;51;COP;3;IB1;1,2;2;0;100,217;;0;;100,032;;7,57;0;0;0;0,186;1,0579;F1+;;;;;;;;;
907;D;CDTBBO80;COB01CD96808;0;A;06/04/2016;29/05/2014;29/05/2016;M;V;53;COP;3;IB1;1,2;2;0;100,178;;0;;100,033;;7,568;0;0;0;0,145;1,0557;F1+;;;;;;;;;
908;D;CDTBBO80;COB01CD96956;0;A;06/04/2016;03/06/2014;03/06/2016;M;V;58;COP;3;IB1;1,2;2;0;100,077;;0;;100,015;;7,575;0;0;0;0,062;1,0625;F1+;;;;;;;;;
909;D;CDTBBO80;COB01CD97061;0;A;06/04/2016;04/06/2014;04/06/2016;M;V;59;COP;3;IB1;1,2;2;0;100,057;;0;;100,015;;7,576;0;0;0;0,041;1,0639;F1+;;;;;;;;;
910;D;CDTBBO80;COB01CD97210;0;A;06/04/2016;05/06/2014;05/06/2016;M;V;60;COP;3;IB1;1,2;2;0;100,038;;0;;100,017;;7,579;0;0;0;0,021;1,0658;F1+;;;;;;;;;
911;D;CDTBBO80;COB01CD97954;0;A;06/04/2016;17/06/2014;17/06/2016;M;V;72;COP;3;IB1;1,2;2;0;100,421;;0;;100,032;;7,527;0;0;0;0,389;1,0179;F1+;;;;;;;;;
912;D;CDTBBO80;COB01CD98366;0;A;06/04/2016;25/06/2014;27/06/2016;M;V;82;COP;3;IB1;1,2;2;0;100,265;;0;;100,038;;7,539;0;0;0;0,227;1,0283;F1+;;;;;;;;;
913;D;CDTBBO90;COB01CD98804;0;A;06/04/2016;02/07/2014;02/07/2016;T;V;87;COP;3;IPC;2,6;2;0;100,626;;0;;100,515;;8,055;0;0;0;0,111;0,0696;F1+;;;;;;;;;
914;D;CDTBBO80;COB01CD98820;0;A;06/04/2016;02/07/2014;02/07/2016;M;V;87;COP;3;IB1;1,2;2;0;100,123;;0;;100,04;;7,545;0;0;0;0,083;1,0347;F1+;;;;;;;;;
915;D;CDTBBO90;COB01CD99117;0;A;06/04/2016;07/07/2014;07/07/2016;T;V;92;COP;3;IPC;2,6;2;0;102,912;;0;;100,632;;8,069;0;0;0;2,28;0,0826;F1+;;;;;;;;;
916;D;CDTBBO90;COB01CD99380;0;A;06/04/2016;10/07/2014;10/07/2016;T;V;95;COP;3;IPC;2,6;2;0;102,829;;0;;100,626;;8,141;0;0;0;2,203;0,149;F1+;;;;;;;;;
917;D;CDTBBO80;COB01CD99471;0;A;06/04/2016;11/07/2014;11/07/2016;M;V;96;COP;3;IB1;1,2;2;0;100,48;;0;;99,972;;7,854;0;0;0;0,508;1,3243;F1+;;;;;;;;;
918;D;CDTBBO90;COB01CD99505;0;A;06/04/2016;11/07/2014;11/07/2016;T;V;96;COP;3;IPC;2,6;2;0;102,806;;0;;100,629;;8,145;0;0;0;2,177;0,1526;F1+;;;;;;;;;
919;D;CDTBBO80;COB01CD99570;0;A;06/04/2016;14/07/2014;14/07/2016;M;V;99;COP;3;IB1;1,2;2;0;100,417;;0;;99,969;;7,86;0;0;0;0,448;1,3299;F1+;;;;;;;;;
920;D;CDTBBO90;COB01CD99711;0;A;06/04/2016;15/07/2014;15/07/2016;T;V;100;COP;3;IPC;2,6;2;0;102,715;;0;;100,64;;8,156;0;0;0;2,075;0,1629;F1+;;;;;;;;;
921;D;CDTBBO10;COB01CD99729;0;A;06/04/2016;16/07/2014;16/07/2016;T;V;101;COP;3;DTF;1,1;2;0;101,28;;0;;99,862;;8,125;0;0;0;1,418;1,5449;F1+;;;;;;;;;
922;D;CDTBBO90;COB01CD99737;0;A;06/04/2016;16/07/2014;16/07/2016;T;V;101;COP;3;IPC;2,6;2;0;102,692;;0;;100,643;;8,16;0;0;0;2,049;0,1662;F1+;;;;;;;;;
923;D;CDTBBO90;COB01CD99810;0;A;06/04/2016;17/07/2014;17/07/2016;T;V;102;COP;3;IPC;2,6;2;0;102,67;;0;;100,646;;8,159;0;0;0;2,024;0,166;F1+;;;;;;;;;
924;D;CDTBBO80;COB01CD99844;0;A;06/04/2016;18/07/2014;18/07/2016;M;V;103;COP;3;IB1;1,25;2;0;100,353;;0;;99,982;;7,867;0;0;0;0,372;1,3368;F1+;;;;;;;;;
925;D;CDTBBO90;COB01CD99885;0;A;06/04/2016;18/07/2014;18/07/2016;T;V;103;COP;3;IPC;2,6;2;0;102,647;;0;;100,649;;8,163;0;0;0;1,998;0,1693;F1+;;;;;;;;;
926;D;CDTBBO80;COB01CD99927;0;A;06/04/2016;21/07/2014;21/07/2016;M;V;106;COP;3;IB1;1,25;2;0;100,29;;0;;99,98;;7,869;0;0;0;0,31;1,3387;F1+;;;;;;;;;
927;D;CDTBPO90;COB026D11987;0;A;06/04/2016;31/08/2015;31/08/2018;T;V;877;COP;3;IPC;2,75;2;0;100,54;;0;;99,566;;11,133;0;0;0;0,974;2,9199;AAA;;;;;;;;;
928;D;BBPO05129C5;COB02CB00240;0;A;06/04/2016;25/01/2012;25/01/2017;T;V;294;COP;3;IPC;3,9;2;1;103,715;;0;;101,67;;9,746;0,7662;0,6981;0;2,044;1,6355;BRC1+;;;;;;;;;
929;D;BBPO06129C5;COB02CB00265;0;A;06/04/2016;19/09/2012;19/09/2017;T;V;531;COP;3;IPC;3,69;2;1;102,555;;0;;102,008;;10,278;1,3559;1,2295;0;0,547;2,1283;AAA;;;;;;;;;
930;D;BBPO07139C7;COB02CB00299;0;A;06/04/2016;26/02/2013;26/02/2020;T;V;1421;COP;3;IPC;3,14;2;1;98,278;;0;;97,166;;12,343;3,1786;2,8293;0;1,112;4,0403;AAA;;;;;;;;;
931;D;BBPO011309C5;COB02CB00331;0;A;06/04/2016;23/10/2013;23/10/2018;T;V;930;COP;3;IPC;3,89;2;1;104,022;;0;;101,922;;11,204;2,2006;1,9788;0;2,1;2,9855;AAA;;;;;;;;;
932;D;BBPO09148D2;COB02CB00349;0;A;06/04/2016;20/05/2014;20/05/2016;M;V;44;COP;3;IB1;1,26;2;1;100,365;;0;;100,034;;7,559;0,12;0,1116;0;0,331;1,0472;AAA;;;;;;;;;
933;D;BBPO09148D3;COB02CB00356;0;A;06/04/2016;20/05/2014;20/05/2017;M;V;409;COP;3;IB1;1,35;2;1;99,595;;0;;99,26;;8,636;1,074;0,9885;0;0,335;2,0591;AAA;;;;;;;;;
934;D;BBPO1015SB02;COB02CB00364;0;A;06/04/2016;17/02/2015;17/02/2017;T;V;317;COP;1;FS;5,67;2;1;98,753;;0;;98,023;;8,166;0,8479;0,7838;0;0,73;0,942;BRC1+;;;;;;;;;
935;D;BBPO10159C03;COB02CB00372;0;A;06/04/2016;17/02/2015;17/02/2018;T;V;682;COP;3;IPC;2,44;2;1;100,627;;0;;99,35;;10,993;1,7039;1,5351;0;1,277;2,7902;AAA;;;;;;;;;
936;D;BBPO10159C05;COB02CB00380;0;A;06/04/2016;17/02/2015;17/02/2020;T;V;1412;COP;3;IPC;2,9;2;1;99,633;;0;;98,295;;11,684;3,1724;2,8404;0;1,337;3,4306;AAA;;;;;;;;;
937;D;CDTBPO95;COB02CD07761;0;A;06/04/2016;31/08/2011;31/08/2017;T;V;512;COP;3;IPC;3,9;2;0;103,384;;0;;102,252;;10,239;0;0;0;1,132;2,0917;AAA;;;;;;;;;
938;D;CDTBPO95;COB02CD07779;0;A;06/04/2016;31/08/2011;31/08/2018;T;V;877;COP;3;IPC;4;2;0;103,321;;0;;102,179;;11,125;0;0;0;1,142;2,9129;AAA;;;;;;;;;
939;D;CDTBPO95;COB02CD07787;0;A;06/04/2016;01/09/2011;01/09/2017;T;V;513;COP;3;IPC;3,9;2;0;103,354;;0;;102,253;;10,241;0;0;0;1,101;2,0935;AAA;;;;;;;;;
940;D;CDTBPO95;COB02CD07795;0;A;06/04/2016;02/09/2011;02/09/2017;T;V;514;COP;3;IPC;3,9;2;0;103,324;;0;;102,253;;10,243;0;0;0;1,071;2,0953;AAA;;;;;;;;;
941;D;CDTBPO95;COB02CD07803;0;A;06/04/2016;05/09/2011;05/09/2017;T;V;517;COP;3;IPC;3,9;2;0;103,233;;0;;102,255;;10,249;0;0;0;0,979;2,1015;AAA;;;;;;;;;
942;D;CDTBPO95;COB02CD07811;0;A;06/04/2016;05/09/2011;05/09/2016;T;V;152;COP;3;IPC;3,6;2;0;102,211;;0;;101,258;;8,3;0;0;0;0,953;0,2967;BRC1+;;;;;;;;;
943;D;CDTBPO90;COB02CD08983;0;A;06/04/2016;16/08/2012;16/08/2022;T;V;2322;COP;3;IPC;4,1;2;0;101,662;;0;;100,084;;12,367;0;0;0;1,578;4,0632;AAA;;;;;;;;;
944;D;CDTBPO90;COB02CD08991;0;A;06/04/2016;16/08/2012;16/08/2018;T;V;862;COP;3;IPC;3,9;2;0;103,545;;0;;101,995;;11,104;0;0;0;1,551;2,8927;AAA;;;;;;;;;
945;D;CDTBPO90;COB02CD09007;0;A;06/04/2016;17/08/2012;17/08/2022;T;V;2323;COP;3;IPC;4,1;2;0;101,627;;0;;100,081;;12,368;0;0;0;1,547;4,0638;AAA;;;;;;;;;
