Fondo;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;duración;VPN
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;421;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;132;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;46;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;78;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;262;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;247;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;276;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;274;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;46;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;19;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;46;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
