COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;Emisor;NIT10;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;119;0;6730100000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;152;0;5052050000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;87;0;5033000000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;98;0;5204350000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;6;36;0;5078050000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;147;0;10278100000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;141;0;5068950000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;113;0;10370300000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;79;0;1519020000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;87;0;5033000000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;87;0;6039600000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;704;0;5009000000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;151;0;5054500000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;113;0;5185150000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;6;250;0;5057300000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;215;0;5190900000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;301;0;6061020000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;275;0;5049100000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;186;0;7069510000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;210;0;5011850000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;240;0;5014500000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;6;344;0;5145550000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;430;0;2028980000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;6;195;0;2553675000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;6;194;0;2554375000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;220;0;5053750000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;226;0;5130500000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;240;0;5109700000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;307;0;5080050000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;230;0;3013140000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;168;0;5034850000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;234;0;1010410000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;269;0;5003850000,00
