ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO; DURACION ;  VPN  ;FIC
9633;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;286;0;2016440000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;111;0;1008140000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;32;0;1033310000;VP
9633;1;2;16;Leasing Bancoldex S.A. Compað?A De Financiamiento;8002253859;2;1;1;1;2;1;309;0;3022620000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;189;0;1007920000;VP
9633;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;194;0;1005600000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;201;0;1005760000;VP
9633;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;201;0;3015150000;VP
9633;1;2;16;Banco Pichincha S.A.;8902007567;2;1;1;1;2;1;389;0;3035730000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;402;0;5017750000;VP
9633;1;1;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;219;0;507750000;VP
9633;1;1;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;222;0;1014940000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;230;0;4023280000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;231;0;4002960000;VP
9633;1;2;16;Servicios Financieros S.A - Serfinansa C.F.;8600431866;2;1;1;1;2;1;53;0;5094950000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;118;0;10177300000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;247;0;2007020000;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;472;0;1006580000;VP
