COD;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR ;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;388;0;31363500000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;310;0;10325700000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;457;0;10104900000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;549;0;5244200000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;534;0;5282550000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;620;0;2040780000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;583;0;1043130000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;582;0;5918460000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1025;0;8488240000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;948;0;1047030000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1807;0;2099040000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;361;0;958440000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;776;0;5153200000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;181;0;495355000,00
91011952;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;358;0;15546150000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;216;0;3096660000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;154;0;10257100000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;536;0;2109600000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;177;0;1984400000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;177;0;1984400000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;219;0;15393750000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;603;0;2960520000,00
91011952;1;1;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;571;0;2343875000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;350;0;31186800000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;300;0;2110560000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;177;0;5089850000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;584;0;10302800000,00
91011952;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;166;0;4087640000,00
91011952;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;166;0;2554775000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;349;0;22715260000,00
91011952;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;349;0;4158400000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;401;0;16503360000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;948;0;5235150000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;577;0;4720050000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;572;0;522840000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;680;0;5720110000,00
91011952;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;402;0;3577140000,00
91011952;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;240;0;4017640000,00
91011952;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;877;0;5197050000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;582;0;4932050000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;582;0;2959230000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;563;0;5179900000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;592;0;25691000000,00
91011952;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;379;0;10158300000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;394;0;3112080000,00
91011952;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;872;0;3643430000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;390;0;3149610000,00
91011952;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;583;0;10205200000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;581;0;4175200000,00
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;880;0;3628380000,00
91011952;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;588;0;10163700000,00
91011952;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;572;0;15732150000,00
91011952;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;907;0;3277410000,00
91011952;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;391;0;2077600000,00
