TIPO ACTIVO;CODIGO CARTERA;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN;VAN
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;226;0;1011810000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;105;0;2042660000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;289;0;20374800000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;474;0;4625460000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;307;0;1014090000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;301;0;1518870000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;538;0;5115500000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;310;0;5054200000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;314;0;1518810000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;315;0;7071400000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;317;0;5556100000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;122;0;2024380000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;136;0;6554275000
9009438;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;285;0;2043880000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;339;0;20168400000
9009438;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;162;0;1507305000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;163;0;5021600000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;163;0;8540205000
9009438;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;169;0;4015640000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;176;0;2005880000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;722;0;10108400000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;360;0;5008800000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;360;0;14024640000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;360;0;4507920000
9009438;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;182;0;1001870000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;365;0;2502775000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;366;0;6033360000
9009438;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;189;0;8035040000
9009438;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;190;0;5521725000
9009438;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;4;8;0;7023030000
9009438;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;5024800000
9009438;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;4051920000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;69;0;351848000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;69;0;150792000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;69;0;502640000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;374;0;3045030000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;192;0;1518120000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;374;0;2031720000
9009438;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;195;0;501910000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;374;0;3552535000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;379;0;12678000000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;197;0;1011030000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;14;0;1503600000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;197;0;3510360000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;197;0;3511375000
9009438;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;149;0;1016170000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;380;0;6020880000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;198;0;2006220000
9009438;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;380;0;3016770000
9009438;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;149;0;5080850000
