fondo;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;duracion;VPN
9041248;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;525; -   ;2010040000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;162; -   ;502925000
9041248;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;44; -   ;5037300000
9041248;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;49; -   ;3019740000
9041248;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;26; -   ;1012660000
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;1.613; -   ;1504095000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;43; -   ;10262700000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;291; -   ;2032400000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;22; -   ;96205550
9041248;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;776; -   ;140205800
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;77; -   ;275612130
9041248;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;505; -   ;5030700000
9041248;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;948; -   ;1026690000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;441; -   ;4149440000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;735; -   ;2198960000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;441; -   ;518680000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;441; -   ;2074720000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;441; -   ;3112080000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;441; -   ;1037360000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;441; -   ;2074720000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;188; -   ;4867600000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;6; -   ;499575000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;97; -   ;2466325000
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;2606026370.79
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;5212052741.58
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;2606026370.79
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;5212052741.58
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;5212052741.58
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;5212052741.58
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;2606026370.79
9041248;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;1303013185.4
9041248;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;1; -   ;11083353611
9041248;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;1; -   ;439143
9041248;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;1; -   ;39906511.64
9041248;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;1; -   ;3000000
9041248;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;1; -   ;8345034.22
9041248;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;1; -   ;43810177347.94
9041248;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;1; -   ;841201.79
9041248;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;1; -   ;1795601988.38
9041248;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0; -   ; -   ;1349241816.26
9041248;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0; -   ; -   ;3928159749.94
9041248;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0; -   ; -   ;500000
9041248;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0; -   ; -   ;37536747484.46
9041248;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0; -   ; -   ;120269343.83
