CÓDIGO DEL FIC;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSION ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN; VPN 
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;115;0;2015620000
850762;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;232;0;3032670000
850762;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;11;46;0;2086300000
850762;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;11;46;0;2086300000
850762;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;113;0;2005560000
850762;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;311;0;999550000
850762;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;502;0;992020000
850762;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;396;0;505745000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;492;0;998080000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;64;0;1005540000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;178;0;1999600000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;178;0;999800000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;634;0;513250000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;260;0;1993400000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;260;0;1993400000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;395;0;987660000
850762;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;2;0;2024860000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;151;0;999290000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;151;0;499645000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;151;0;999290000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;150;0;999470000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;152;0;1004580000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;152;0;1004580000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;59;0;500660000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;465;0;993050000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;123;0;1002790000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;41;0;1004370000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;236;0;507985000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;304;0;1535160000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;313;0;1018930000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;303;0;1023190000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;205;0;509320000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;50;0;1010930000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;231;0;2025520000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;40;0;1011700000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;317;0;1048880000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;134;0;1004000000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;142;0;1002000000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;52;0;1003390000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;136;0;1505430000
850762;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;127;0;1004850000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;41;0;503195000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;41;0;1006390000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;224;0;1004120000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;44;0;2010280000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;44;0;1005140000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;44;0;1005140000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;12;0;1505520000
850762;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;558;0;1565115000
850762;1;2;16;Leasing Bancoldex S.A. Compañia De Financiamiento;8002253859;2;1;1;1;2;1;144;0;1001660000
850762;1;2;16;Leasing Bancoldex S.A. Compañia De Financiamiento;8002253859;2;1;1;1;2;1;113;0;510505000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;134;0;2008840000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;134;0;502210000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;134;0;1004420000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;87;0;1003600000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;404;0;2507300000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;20;0;4141200000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;108;0;2015260000
850762;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;41;0;1031620000
850762;1;2;16;LEASING CORFICOLOMBIANA S.A.;8000247028;2;1;1;1;2;1;63;0;1006260000
850762;1;2;16;LEASING CORFICOLOMBIANA S.A.;8000247028;2;1;1;1;2;1;65;0;502970000
850762;1;2;16;LEASING CORFICOLOMBIANA S.A.;8000247028;2;1;1;1;2;1;458;0;1000740000
850762;1;2;16;LEASING CORFICOLOMBIANA S.A.;8000247028;2;1;1;1;2;1;472;0;1995940000
850762;1;2;16;LEASING CORFICOLOMBIANA S.A.;8000247028;2;1;1;1;2;1;505;0;997430000
850762;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;121;0;1006440000
850762;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;11;514;0;1000500000
850762;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;18;240;0;498890000
850762;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;1;73;0;1500330000
850762;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;161;0;1045010000
850762;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;161;0;4180040000
850762;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;161;0;4702545000
850762;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;161;0;5747555000
850762;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;161;0;3135030000
850762;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;161;0;5225050000
850762;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;161;0;5225050000
850762;1;2;9;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;7;0;61714797.87
850762;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;38128.28
850762;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;1248334.25
850762;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;3443016.78
850762;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;872480.4
850762;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2000000
850762;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;1103812.75
850762;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;0
850762;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;1923280.2
850762;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;1662574.07
850762;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;23852948989.86
850762;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;30666137821.38
850762;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;3802446726.12
850762;2;1;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;32304461620.61
850762;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;0
850762;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;12038787.26
850762;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;303263069.07
850762;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;9544580542
850762;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;1675330.21
850762;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;109025403.43
850762;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;33421538335.21
850762;2;2;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;688920198.91
850762;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;1206807.11
850762;2;2;0;HELM BANK;8600076603;0;0;0;0;0;0;0;0;882987.32
850762;2;2;0;HELM BANK;8600076603;0;0;0;0;0;0;0;0;9043076273.96
850762;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;1501464.58
850762;2;2;0;BANCO CAJA SOCIAL;8600073354;0;0;0;0;0;0;0;0;1424084.25
850762;2;2;0;BANCO CAJA SOCIAL;8600073354;0;0;0;0;0;0;0;0;105540374.55
850762;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;1208525.19
850762;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;20360174878.42
850762;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;950000
850762;2;2;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;0
850762;2;1;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;1658949.67
850762;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;1225508.56
850762;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;31379100116.26
850762;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;1820000
850762;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;5310782216.35
850762;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;1483333.78
850762;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;183358747.67
850762;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;1000000
85076219;1;2;3;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;933;0;523725000
85076219;1;2;3;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;1280;0;560865000
85076219;1;2;3;BANCO DE OCCIDENTE S.A.;8903002794;2;1;1;1;2;1;144;0;1001730000
85076219;1;2;3;Citibank Colombia S.A.;8600511354;2;1;1;1;2;1;171;0;514260000
85076219;1;2;3;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;495;0;497660000
85076219;1;2;3;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;277;0;1001560000
85076219;1;2;3;BANCO FALABELLA S.A.;9000479818;2;1;1;1;2;1;469;0;521760000
85076219;1;2;3;BANCO FALABELLA S.A.;9000479818;2;1;1;1;2;1;469;0;521760000
85076219;1;2;3;BANCO FALABELLA S.A.;9000479818;2;1;1;1;2;1;469;0;521760000
85076219;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;2149;0;512595000
85076219;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;1532;0;1972880000
85076219;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;1686;0;496960000
85076219;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;487;0;1990060000
85076219;1;1;16;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;1;304;0;1983880000
85076219;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;747;0;1017170000
85076219;1;2;16;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;1;837;0;1933460000
85076219;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;795;0;1523655000
85076219;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;11;739;0;1047690000
85076219;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;11;1111;0;509225000
85076219;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;11;1134;0;2524875000
85076219;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;458;0;1493550000
85076219;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;473;0;992580000
85076219;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;364;0;511785000
85076219;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;458;0;1481670000
85076219;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;502;0;992020000
85076219;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;236;0;1015970000
85076219;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;324;0;1017330000
85076219;1;2;16;BANCO DAVIVIENDA S.A.;8600343137;2;1;1;1;2;1;865;0;957760000
85076219;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;771;0;511010000
85076219;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;315;0;516080000
85076219;1;2;16;LEASING CORFICOLOMBIANA S.A.;8000247028;2;1;1;1;2;1;145;0;1503150000
85076219;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;4200175594.88
85076219;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;0
85076219;2;1;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;0
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;68382000
