ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULOS;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN;
9011403;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;126;0;515210000;
9011403;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;126;0;2576050000;
9011403;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;469;0;3063450000;
9011403;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;225;0;1025030000;
9011403;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;5;11;0;1015460000;
9011403;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;5;13;0;10150600000;
9011403;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;5;18;0;5070300000;
9011403;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;140;0;10091500000;
9011403;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;75;0;15052050000;
9011403;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;76;0;12039240000;
9011403;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;82;0;4008200000;
9011403;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;84;0;10135000000;
9011403;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;54;0;6079920000;
9011403;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;340;0;2011160000;
9011403;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;342;0;2010220000;
9011403;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;343;0;5024450000;
9011403;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;73;0;5019700000;
9011403;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;272;0;5002500000;
9011403;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;42;0;1005770000;
9011403;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;221;0;1989200000;
9011403;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;71;0;5008200000;
9011403;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;170;0;994390000;
9011403;1;2;16;Banco Colpatria;8901001806;2;1;1;1;2;1;153;0;9979900000;
9011403;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;57;0;8013440000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;43;0;1514295000;
9011403;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;334;0;1006990000;
9011403;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;112;0;506465000;
9011403;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;5;5;0;5080300000;
9011403;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;33;0;1007340000;
9011403;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;5;26;0;1012580000;
9011403;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;506;0;5059000000;
9011403;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;525;0;5029050000;
9011403;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;534;0;10021600000;
9011403;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;5;169;0;10027400000;
9011403;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;2;0;5061200000;
9011403;1;2;16;Leasing Bancoldex S.A. Compañia De Financiamiento;8002253859;2;1;1;1;2;6;10;0;1015430000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;1258079604;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;2516159208;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;5032318416;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;5032318416;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;1258079604;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;2516159208;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;54;0;5310650000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;54;0;2124260000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;54;0;3186390000;
