FONDO;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACION;VPN
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;331;0;502025000
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;345;0;3020130000
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;710;0;2011240000
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;312;0;2007120000
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;436;0;1002510000
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;230;0;2031320000
8507623;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;230;0;3044880000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;38;0;502010000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;148;0;4009200000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;312;0;1505865000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;45;0;3045000000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;194;0;4124360000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;22;0;2033260000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;205;0;2058120000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;16;0;4132000000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;204;0;3046620000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;166;0;5035800000
8507623;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;344;0;501420000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;53;0;1002420000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;241;0;1507350000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;248;0;1008820000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;251;0;1008360000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;70;0;1004570000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;254;0;503950000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;254;0;2015800000
