COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN;VPN
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;16880000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;4346600
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;3080600
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;4937400
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;61232200
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;5443800
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;66549400
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;82458800
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;5697000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;8060200
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;37389200
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;16078200
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;25109000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;13926000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;14010400
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;22366000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;4009000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;17091000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;17513000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;8440000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;42200000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;7596000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;4642000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;21100000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;31650000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;32072000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;5486000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;25320000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;14770000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;11394000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;25320000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;5908000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;17302000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;8651000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;1477000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;15614000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;31650000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;32494000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;21100000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;18736800
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;27641000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;1899000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;42200000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;9917000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;11478400
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;9326200
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;25193400
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;38739600
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;26881400
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;67224600
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;47601600
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;84400000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;3729360
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;6503640
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;3138120
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;3501960
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;18192000
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;15554160
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;98828040
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;12279600
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;33700680
119158;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;Acciones  ;0;0;6685560
